,1274737,"Dr. Kahn has a Ph.D. in Theoretical Organic Chemistry from the University of California, Irvine and was a Fellow Commoner of Churchill College at the University of Cambridge in England.",https://www.sec.gov/Archives/edgar/data/1274737/000127473724000028/a2024def14aproxystatement.htm
Nova Tina Susan,1274737,"Dr. Nova holds a B.S. in Biological Sciences from the University of California, Irvine and a Ph.D. in Biochemistry from the University of California, Riverside.",https://www.sec.gov/Archives/edgar/data/1274737/000127473723000034/a2023def14aproxystatement.htm
,1453593,"Mr. Beeson holds a Bachelor of Science degree from the University of California, Irvine, and a Juris Doctorfrom the University of Pennsylvania.",https://www.sec.gov/Archives/edgar/data/1453593/000149315223020490/formdef14a.htm
Boyd Bradley L,1069258,"Colonel Boyd holds a master’s degree in International Politics from Cambridge, a master’s degree in Strategic Cyber Operations from the Army’s Command and General Staff College, and a bachelor’s degree in Anthropology from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1069258/000106925824000026/kratosdef14a041124.htm
HENRY CHRISTIAN O,1299130,"Henry holds a B.A. in biochemistry and cell biology from the University of California, San Diego and an M.B.A., with a concentration in finance, from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1299130/000110465923045011/tm2310469d4_def14a.htm
HENRY CHRISTIAN O,1299130,"Mr. Henry holds a B.A. in biochemistry and cell biology from the University of California, San Diego and an M.B.A., with a concentration in finance, from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1299130/000129913024000097/pacb-20240428.htm
,1704711,,https://www.sec.gov/Archives/edgar/data/1704711/000170471124000057/fnko-20240424.htm
Lee Sung,1706431,"Mr. Lee received a B.A. from the University of California, Irvine and an M.B.T. from the University of Southern California.",https://www.sec.gov/Archives/edgar/data/1706431/000114036124020684/edge20022607x1_def14a.htm
Lee Sung,1706431,"Mr. Lee received a B.A. from the University of California, Irvine and an M.B.T. from the University of Southern California.12Table of ContentsPhillip Pang, M.D., Ph.D., 48, has served as our Chief Medical Officer since December 2018, our Executive Vice President since December 2021 and our Interim Head of Research since August 2022.",https://www.sec.gov/Archives/edgar/data/1706431/000119312523095213/d466768ddef14a.htm
Loxam Teri,1816590,"Ms. Loxam holds an M.B.A. from the University of California, Irvine, Paul Merage School of Business, and a B.Sc. from the University of Victoria.",https://www.sec.gov/Archives/edgar/data/1816590/000181659024000070/cmps-schedule14adefinitive.htm
Noblett Karen,1603756,"Dr. Noblett holds a B.A. in Biology from California State University, Fresno, an M.D. from the University of California, Irvine, and an M.S. in Research from the University of California, San Diego.",https://www.sec.gov/Archives/edgar/data/1603756/000160375623000031/axnx-20230501.htm
Whitfield Dianne C.,1819790,"Ms. Whitfield earned her Bachelor of Arts degree in Psychology and Social Behavior from the University of California, Irvine and a Master’s degree in Social Work from California State University, Long Beach.",https://www.sec.gov/Archives/edgar/data/1819790/000181979024000056/tarsuspharmaceuticalsincpr.htm
Whitfield Dianne C.,1819790,"Ms. Whitfield earned her Bachelor of Arts degree in Psychology and Social Behavior from the University of California, Irvine and a Master’s degree in Social Work from California State University, Long Beach.",https://www.sec.gov/Archives/edgar/data/1819790/000181979023000014/tarsuspharmaceuticalsincpr.htm
Nguyen Dennis Luan Thuc,1817511,"Mr. Nguyen earned an MBA from The University of Chicago Booth School of Business; a MA in International Studies from The Johns Hopkins University School of Advanced International Studies; a Juris Doctor from the University of Minnesota Law School; and a BA-Economics/BA-Chinese Literature from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1817511/000114036123025121/ny20008932x1_def14a.htm
THEUER CHARLES,1260990,"Dr. Theuer received a B.S. from the Massachusetts Institute of Technology, an M.D. from the University of California, San Francisco, and a Ph.D. from the8University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1260990/000095017024049135/onct_proxy_2024.htm
