Name,Personal_CIK,Company_CIK,Bio,Link,StockTicker,shares,SharePrice
Nguyen Dennis Luan Thuc,1511213,1817511,"Mr. Nguyen earned an MBA from The University of Chicago Booth School of Business; a MA in International Studies from The Johns Hopkins University School of Advanced International Studies; a Juris Doctor from the University of Minnesota Law School; and a BA-Economics/BA-Chinese Literature from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1817511/000114036123025121/ny20008932x1_def14a.htm,SOPA,5658100.0,7.11
Noblett Karen,1756240,1603756,"Dr. Noblett holds a B.A. in Biology from California State University, Fresno, an M.D. from the University of California, Irvine, and an M.S. in Research from the University of California, San Diego.",https://www.sec.gov/Archives/edgar/data/1603756/000160375623000031/axnx-20230501.htm,AXNX,45716.0,67.65
None_Name0,None_CIK0,1698538,"Mr. Chappell graduated with a B.A. in Political Science and Business Administration from the University of California, Los Angeles, has an MBA from the University of California, Irvine, and has a Master of Aging ServicesManagement from the University of Southern California.18STOCK OWNERSHIPBeneficial Ownership of the Company’s",https://www.sec.gov/Archives/edgar/data/1698538/000119312523100380/d462666ddef14a.htm,non_ticker,0.0,non_stock_price
None_Name1,None_CIK1,1698538,"Mr. Muzzy graduated with a B.A. in Social Ecology from the University of California, Irvine, and has an MBA from Pepperdine University.",https://www.sec.gov/Archives/edgar/data/1698538/000119312524094554/d825736ddef14a.htm,non_ticker,0.0,non_stock_price
Muzzy Stephen G,1672796,1852575,"Mr. Muzzy graduated with aB.A. in Social Ecology from the University of California, Irvine, and has an MBA from Pepperdine University.  ",https://www.sec.gov/Archives/edgar/data/1852575/000119312524091711/d811706ddef14a.htm,non_ticker,6250.0,non_stock_price
None_Name2,None_CIK2,1852575,"Mr. Look holds a B.S. in Computer Science from the University of California, Irvineand a J.D. from the Pepperdine University School of Law.",https://www.sec.gov/Archives/edgar/data/1852575/000119312523095400/d494730ddef14a.htm,non_ticker,0.0,non_stock_price
None_Name3,None_CIK3,1819576,"Dr. Saggar received a B.S. degree and a M.D. degree from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1819576/000110465923053124/tm232005-2_def14a.htm,non_ticker,0.0,non_stock_price
None_Name4,None_CIK4,1819576,"Dr. Saggar received a B.S. degree and a M.D. degree from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1819576/000110465924054100/tm242791-4_def14a.htm,non_ticker,0.0,non_stock_price
KRAMER DESIREE AMBER,1828260,1821160,"Ms. Kramer holds a Bachelor of Business Administration in finance from Texas Christian University and a Master of Business Administration from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1821160/000182116023000026/ghld-def14aproxy2023.htm,GHLD,230706.0,13.51
Emerson Jane,1398437,73290,"From1994 to 2009, Dr. Emerson was on the faculty of the University of California, Irvine School of Medicines where she served as Chief ofClinical Pathology, and from 2000 to 2009, she served as the Vice Chair for Clinical Programs, Department of Pathology, and LaboratoryMedicine.",https://www.sec.gov/Archives/edgar/data/73290/000149315223034447/formdef14a.htm,BMRA,0.0,1.00
